,Company Name,Company Description
0,Must See India,<strong> Dynamic holiday packages to India<br/></strong>
1,Simpa Networks,<strong> Pay-as-you-go solar for emerging markets<br/></strong>
2,ZipDial,"<strong> ""Smart"" features on Cloud for 100% of mobile users. 400M+ zipdials, 400+ paying customers.<br/></strong>"
3,Exotel,<strong> IVR for your business<br/></strong>
4,CouponDunia,<strong> India's Most Popular Coupon Code Website<br/></strong>
5,Unitus Seed Fund,<strong> India seed fund activating markets for the masses<br/></strong>
6,Brainwave Education,<strong> Virtual Science &amp; Math Lab for 5-9th graders<br/></strong>
7,Flipkart,<strong> India's favourite online shopping destination!<br/></strong>
8,Instamojo,<strong> Democratize payments for SME's.<br/></strong>
9,SupportBee,<strong> The easiest way to mange customer support emails with your team<br/></strong>
10,Localbeat,<strong> Your Local Hub<br/></strong>
11,Swiggy,<strong> Food Delivery 2.0 for India<br/></strong>
12,YoungCurrent,<strong> Customized news for children<br/></strong>
13,Infosys Technologies,<strong> <br/></strong>
14,Codelearn,<strong> Teaching technology via app development (Codecademy + Heroku)<br/></strong>
15,Zoom,<strong> India's only car rental company focusing on self-drive (no chauffeurs)<br/></strong>
16,Sentropi,<strong> Online Fraud prevention and Account Takeover protection for your online business.<br/></strong>
17,Wipro Technologies,<strong> <br/></strong>
18,HackerEarth,<strong> Helping companies find the smartest programmers<br/></strong>
19,mygola.com,<strong> Custom trip plans in minutes<br/></strong>
20,Lookup,<strong> Get things done with a message.<br/></strong>
21,Pugmarks.me,<strong> Anticipatory Content Discovery; Google Now for Unstructured Data<br/></strong>
22,Talview (formerly Interview Master),<strong> Online Video Recruitment Solutions | Mobile | Talent Engagement | Hiring Analytics<br/></strong>
23,Profoundis Labs,<strong> iTestify is the easiest way to collect customer feedbacks via multiple channels<br/></strong>
24,Storyberry,<strong> Read . Create . Share <br/></strong>
25,GrexIt,"<strong> GrexIt turns your Gmail into a Simple, Powerful collaboration tool.<br/></strong>"
26,Milaap Social Ventures,<strong> Asia's Crowdfunding platform for Impact<br/></strong>
27,DataWeave,<strong> Access curated datasets through APIs.<br/></strong>
28,Venturesity,<strong> A new age online university <br/></strong>
29,CommonFloor,<strong> <br/></strong>
30,Tookitaki,<strong> Relevant Audience Infinite Possibilities<br/></strong>
31,Logistimo,<strong> Logistics &amp; supply chain software for rural emerging markets<br/></strong>
32,SmartRx,<strong> CRM for Healthcare<br/></strong>
33,Unocoin,<strong> India's Leading Bitcoin Company<br/></strong>
34,Dexetra,<strong> finding the answers within you.<br/></strong>
35,Unbxd,<strong> Intelligent product search &amp; recommendations for eCommerce sites<br/></strong>
36,Plustxt,<strong> India's own text messaging app in Indian languages<br/></strong>
37,Amplyfy Labs,<strong> Foursquare for TV shows and then some!<br/></strong>
38,Quantama,<strong> Discover retail products nearby on mobile.<br/></strong>
39,C42 Engineering,<strong> Bootstrapped product startup. Ruby Consultancy. Collective.<br/></strong>
